datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,136.0,136.83,133.57,135.46,135.46,1636000
2010-01-05 00:00:00+00:00,135.43,140.6,135.1,137.4,137.4,2520900
2010-01-06 00:00:00+00:00,138.43,140.25,137.65,140.02,140.02,2195800
2010-01-07 00:00:00+00:00,141.0,142.46,138.91,140.48,140.48,2040000
2010-01-08 00:00:00+00:00,139.7,141.5,137.01,139.68,139.68,1582700
2010-01-11 00:00:00+00:00,141.0,141.24,137.77,138.24,138.24,1575400
2010-01-12 00:00:00+00:00,137.0,137.0,132.66,132.98,132.98,2087900
2010-01-13 00:00:00+00:00,133.52,134.0,129.42,132.12,132.12,1805600
2010-01-14 00:00:00+00:00,131.52,136.23,124.72,124.84,124.84,8294100
2010-01-15 00:00:00+00:00,125.89,126.5,122.5,124.07,124.07,3771900
2010-01-19 00:00:00+00:00,123.13,124.68,120.0,123.94,123.94,3574400
2010-01-20 00:00:00+00:00,120.61,122.0,118.25,119.505,119.505,3931300
2010-01-21 00:00:00+00:00,119.08,121.45,118.19,119.12,119.12,2870600
2010-01-22 00:00:00+00:00,119.54,119.54,109.77,112.39,112.39,4926800
2010-01-25 00:00:00+00:00,114.68,115.75,111.1,111.72,111.72,2802300
2010-01-26 00:00:00+00:00,112.02,117.88,111.35,115.13,115.13,4067700
2010-01-27 00:00:00+00:00,115.06,115.98,111.02,114.14,114.14,2191000
2010-01-28 00:00:00+00:00,115.3,115.78,112.07,114.35,114.35,2436800
2010-01-29 00:00:00+00:00,114.64,120.03,113.0,113.3,113.3,2927700
2010-02-01 00:00:00+00:00,114.89,119.84,114.25,117.49,117.49,1797000
2010-02-02 00:00:00+00:00,117.49,118.68,115.29,117.37,117.37,2174800
2010-02-03 00:00:00+00:00,117.86,120.3,117.74,119.07,119.07,1314900
2010-02-04 00:00:00+00:00,116.56,117.86,113.25,113.46,113.46,1578800
2010-02-05 00:00:00+00:00,113.92,114.4,110.84,114.19,114.19,1965700
2010-02-08 00:00:00+00:00,112.0,113.32,110.57,111.21,111.21,1931600
2010-02-09 00:00:00+00:00,112.94,114.9,111.25,113.29,113.29,2518500
2010-02-10 00:00:00+00:00,112.65,113.04,107.25,109.33,109.33,2673700
2010-02-11 00:00:00+00:00,110.65,114.45,110.21,113.81,113.81,2273800
2010-02-12 00:00:00+00:00,113.21,115.9,110.44,115.1,115.1,1874900
2010-02-16 00:00:00+00:00,116.84,122.79,116.04,121.36,121.36,2546600
2010-02-17 00:00:00+00:00,123.47,124.75,121.7,124.22,124.22,2602900
2010-02-18 00:00:00+00:00,125.63,126.995,124.0501,126.29,126.29,4205800
2010-02-19 00:00:00+00:00,116.68,118.49,115.12,116.0,116.0,5671700
2010-02-22 00:00:00+00:00,114.76,115.12,110.32,113.09,113.09,5790400
2010-02-23 00:00:00+00:00,109.0,109.64,105.08,105.78,105.78,5722200
2010-02-24 00:00:00+00:00,106.6,107.6985,103.58,105.13,105.13,3706200
2010-02-25 00:00:00+00:00,100.55,103.46,98.71,102.97,102.97,5220500
2010-02-26 00:00:00+00:00,105.26,105.98,102.53,105.75,105.75,2717900
2010-03-01 00:00:00+00:00,107.59,107.9,104.36,105.62,105.62,1756700
2010-03-02 00:00:00+00:00,106.28,109.339,104.7,107.26,107.26,2900100
2010-03-03 00:00:00+00:00,108.5,110.15,107.46,107.64,107.64,1782400
2010-03-04 00:00:00+00:00,108.8,109.7,107.95,108.05,108.05,1393700
2010-03-05 00:00:00+00:00,108.73,109.4999,108.11,108.6175,108.6175,1352000
2010-03-08 00:00:00+00:00,109.2,109.49,106.52,108.64,108.64,1496400
2010-03-09 00:00:00+00:00,105.9,107.28,104.83,106.22,106.22,2619300
2010-03-10 00:00:00+00:00,106.12,112.25,106.11,110.95,110.95,3146300
2010-03-11 00:00:00+00:00,110.7,115.7,109.95,113.69,113.69,3096400
2010-03-12 00:00:00+00:00,114.5,117.4399,114.29,115.53,115.53,2104300
2010-03-15 00:00:00+00:00,115.53,118.64,114.21,114.92,114.92,2010200
2010-03-16 00:00:00+00:00,115.81,116.7,114.4,115.24,115.24,948300
2010-03-17 00:00:00+00:00,116.25,116.49,114.39,114.525,114.525,1220300
2010-03-18 00:00:00+00:00,114.05,115.82,113.4532,115.13,115.13,1500700
2010-03-19 00:00:00+00:00,114.5,114.9,112.55,113.3,113.3,2223000
2010-03-22 00:00:00+00:00,110.22,110.93,108.97,109.36,109.36,2446200
2010-03-23 00:00:00+00:00,109.93,112.68,109.52,112.02,112.02,1519400
2010-03-24 00:00:00+00:00,111.15,111.97,109.36,109.45,109.45,1766900
2010-03-25 00:00:00+00:00,112.97,113.7,111.77,112.05,112.05,2080100
2010-03-26 00:00:00+00:00,113.59,118.581,113.055,116.5,116.5,3825100
2010-03-29 00:00:00+00:00,118.22,120.5,117.3,119.37,119.37,2148800
2010-03-30 00:00:00+00:00,120.0,122.89,119.41,122.18,122.18,2153500
2010-03-31 00:00:00+00:00,121.68,123.4,121.31,122.65,122.65,1670400
2010-04-01 00:00:00+00:00,122.33,123.35,118.88,121.3,121.3,1638400
2010-04-05 00:00:00+00:00,122.48,124.0,120.83,122.28,122.28,1095600
2010-04-06 00:00:00+00:00,122.26,122.26,120.11,120.53,120.53,1101600
2010-04-07 00:00:00+00:00,122.54,126.73,122.51,126.6,126.6,2682400
2010-04-08 00:00:00+00:00,125.4,127.56,124.15,126.25,126.25,1633200
2010-04-09 00:00:00+00:00,126.45,127.0,123.78,124.09,124.09,1477300
2010-04-12 00:00:00+00:00,123.94,129.95,123.76,127.86,127.86,1964800
2010-04-13 00:00:00+00:00,128.0,128.5,126.31,126.75,126.75,1057100
2010-04-14 00:00:00+00:00,128.25,132.64,128.0,132.6,132.6,2477400
2010-04-15 00:00:00+00:00,133.33,139.46,132.49,137.9,137.9,2887300
2010-04-16 00:00:00+00:00,138.02,138.09,132.17,134.32,134.32,1765100
2010-04-19 00:00:00+00:00,132.1,134.9,130.15,132.8,132.8,1615200
2010-04-20 00:00:00+00:00,134.88,135.72,131.9,134.12,134.12,1198400
2010-04-21 00:00:00+00:00,132.0,132.08,128.0,130.49,130.49,2200500
2010-04-22 00:00:00+00:00,129.5,134.29,129.36,133.94,133.94,1493200
2010-04-23 00:00:00+00:00,132.48,133.88,130.2708,133.87,133.87,1419600
2010-04-26 00:00:00+00:00,132.96,135.42,130.88,131.95,131.95,1141000
2010-04-27 00:00:00+00:00,131.94,133.7899,127.78,128.36,128.36,1927500
2010-04-28 00:00:00+00:00,128.39,131.56,128.05,128.13,128.13,3146100
2010-04-29 00:00:00+00:00,141.83,152.53,141.69,150.87,150.87,9799000
2010-04-30 00:00:00+00:00,148.65,150.79,143.49,143.98,143.98,3459300
2010-05-03 00:00:00+00:00,145.75,148.11,144.0,146.91,146.91,1898000
2010-05-04 00:00:00+00:00,143.55,143.72,137.91,139.73,139.73,2390900
2010-05-05 00:00:00+00:00,135.19,137.5,132.0,133.95,133.95,2850800
2010-05-06 00:00:00+00:00,132.5,136.24,118.01,122.24,122.24,4540700
2010-05-07 00:00:00+00:00,123.34,127.2,117.27,122.55,122.55,3443300
2010-05-10 00:00:00+00:00,129.2,134.24,128.29,130.18,130.18,2252700
2010-05-11 00:00:00+00:00,129.8,129.8,126.6115,127.45,127.45,1557900
2010-05-12 00:00:00+00:00,128.91,129.06,125.25,128.62,128.62,1726300
2010-05-13 00:00:00+00:00,126.86,129.45,125.93,126.0,126.0,1085700
2010-05-14 00:00:00+00:00,123.4973,124.5,118.75,120.31,120.31,2088600
2010-05-17 00:00:00+00:00,119.71,120.31,110.12,113.17,113.17,4791700
2010-05-18 00:00:00+00:00,115.89,115.89,108.24,110.06,110.06,3281000
2010-05-19 00:00:00+00:00,108.15,110.93,105.35,110.0,110.0,4500500
