symbol,n_rows,start,end,keep,error,name
CCJ,4114,2010-01-04,2026-05-12,True,,Cameco Corporation
FCEL,4114,2010-01-04,2026-05-12,True,,FuelCell Energy Inc
RWEOY,4114,2010-01-04,2026-05-12,True,,RWE AG (US ADR)
DUK,4114,2010-01-04,2026-05-12,True,,Duke Energy Corp
XEL,4114,2010-01-04,2026-05-12,True,,Xcel Energy
SO,4114,2010-01-04,2026-05-12,True,,Southern Company (Southeast US)
AEP,4114,2010-01-04,2026-05-12,True,,American Electric Power (Midwest)
D,4114,2010-01-04,2026-05-12,True,,Dominion Energy (Mid-Atlantic)
EXC,4114,2010-01-04,2026-05-12,True,,Exelon (Nuclear)
PCG,4114,2010-01-04,2026-05-12,True,,PG&E (California)
ED,4114,2010-01-04,2026-05-12,True,,Consolidated Edison (NY)
AES,4114,2010-01-04,2026-05-12,True,,AES Corp (International)
DTE,4114,2010-01-04,2026-05-12,True,,DTE Energy (Michigan)
IMO.TO,4105,2010-01-04,2026-05-12,True,,Imperial Oil Ltd.
CVE.TO,4105,2010-01-04,2026-05-12,True,,Cenovus Energy Inc.
BTE.TO,4105,2010-01-04,2026-05-12,True,,Baytex Energy Corp.
IBE.MC,4184,2010-01-04,2026-05-13,True,,Iberdrola SA
ENGI.PA,4185,2010-01-04,2026-05-13,True,,Engie SA
ENEL.MI,4155,2010-01-04,2026-05-13,True,,Enel SpA
EDP.LS,4187,2010-01-04,2026-05-13,True,,EDP - Energias de Portugal
VWS.CO,4087,2010-01-04,2026-05-13,True,,Vestas Wind Systems
9531.T,4019,2010-01-04,2026-05-13,True,,Tokyo Gas Co.
9501.T,4019,2010-01-04,2026-05-13,True,,Tokyo Electric Power (TEPCO)
9503.T,4019,2010-01-04,2026-05-13,True,,Kansai Electric Power
9532.T,4019,2010-01-04,2026-05-13,True,,Osaka Gas Co.
BPCL.NS,4038,2010-01-04,2026-05-13,True,,Bharat Petroleum Corp.
IOC.NS,4038,2010-01-04,2026-05-13,True,,Indian Oil Corp.
ONGC.NS,4038,2010-01-04,2026-05-13,True,,Oil & Natural Gas Corp.
0002.HK,4029,2010-01-04,2026-05-13,True,,CLP Holdings Ltd.
0006.HK,4029,2010-01-04,2026-05-13,True,,Power Assets Holdings
CSIQ,4114,2010-01-04,2026-05-12,True,,Canadian Solar Inc.
DNN,4114,2010-01-04,2026-05-12,True,,Denison Mines Corp.
UEC,4114,2010-01-04,2026-05-12,True,,Uranium Energy Corp.
CQP,4114,2010-01-04,2026-05-12,True,,Cheniere Energy Partners LP
NFG,4114,2010-01-04,2026-05-12,True,,National Fuel Gas Co.
