exp_id,context_steps,forecast_steps,mae_mean,ic_mean,rankic_mean,n_assets
0,40,6,3.641108300315009,0.08951141122756022,0.07238095238095238,6
1,40,12,4.330308466805352,0.12197245608373725,0.10011655011655012,6
2,40,18,6.195546629941021,0.047482215232470176,0.038992407812888936,6
3,40,24,8.281790916071998,0.06056582696687753,0.057818429292470774,6
4,40,36,10.049716029308462,0.05321273394830716,0.02111722157527704,6
5,40,48,10.639947398212222,0.047059662727268414,0.0426428703861392,6
6,40,60,10.872605382940504,0.0986272115870367,0.06810873439653185,6
7,80,6,3.3488634003533257,0.034784729079821795,0.10190476190476193,6
8,80,12,3.3861383821699356,0.1394400107691456,0.11363636363636363,6
9,80,18,6.545892062717015,0.12839634060652866,0.1279682286167642,6
10,80,24,8.104603644106122,0.07940997526777063,0.06771049790968801,6
11,80,36,12.665390424587109,0.08136192552023704,0.052505230258874304,6
12,80,48,14.616866786532931,0.061326919471899104,0.053344501525996735,6
13,80,60,16.13390408191681,0.0696317702884747,0.07108051103913131,6
14,120,6,3.0095237763722733,0.06710940151581177,0.018095238095238095,6
15,120,12,4.690684214486017,0.09577106687812781,0.09666963914763836,6
16,120,18,7.179748905958952,0.02298863561367535,0.003923034146420937,6
17,120,24,9.415020978874631,0.05229565809486402,0.061116307617642716,6
18,120,36,11.32976721406866,0.06355570217589007,0.056501707601717466,6
19,120,48,13.567797364844218,0.06605443546122303,0.05002813463359649,6
20,120,60,15.216200225194298,0.0029750248328928373,0.0009776662544441494,6
21,160,6,4.408593581093682,0.011833974691373553,-0.014285714285714296,6
22,160,12,7.346629225730896,0.09177006959530169,0.06969839976084696,6
23,160,18,10.559498078452217,0.01829294781121617,0.02294461644306846,6
24,160,24,10.913937129921385,0.09627166750323847,0.0857029915237021,6
25,160,36,13.417999394063594,0.027466180834998643,0.030358057849610917,6
26,160,48,15.24308927154541,0.05573368100727921,0.05102317452927948,6
27,160,60,15.534306204711063,0.047049340869735036,0.03411173736880355,6
28,200,6,7.383895426008436,0.016326462070534883,-0.06631561315383434,6
29,200,12,11.093521390279134,0.03889694615621365,0.0326305596217593,6
30,200,18,12.631471580858582,0.07117847114022526,0.06477545453072975,6
31,200,24,14.958390637079873,0.042609174046768276,0.027875338208881828,6
32,200,36,15.181169389795372,0.03278543693517984,0.03712782349185475,6
33,200,48,16.03496635023753,0.02054498589190728,0.02347575211427469,6
34,200,60,16.427009498352476,0.03754934070461906,0.033965488718600535,6
35,240,6,10.74506012810601,0.08241191597353235,0.06571428571428571,6
36,240,12,14.626477714538574,0.06818704365881605,0.06666666666666667,6
37,240,18,15.115850353311608,0.01983259919525703,0.03794289645682834,6
38,240,24,17.584315542909835,0.04860421015988225,0.03253623188405797,6
39,240,36,17.058428220607617,0.0040047635233471015,-0.009914199914199916,6
40,240,48,17.800485735204482,0.0457413750661303,0.02471437101808992,6
41,240,60,18.207922937382595,0.041918127861586114,0.03415125982111056,6
